video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=34LIYItBhLU&pp=ygUHdmlldG5hbQ%3D%3D,/@VietnamNight,Vietnam Night ,"Vietnam Nightlife 2025| Saigon- Ho Chi Minh City, Great Night walk",18K,1 month,Vietnam Nightlife 2025 | Ho Chi Minh City - Saigon Today. District 1 Night Walking Tour is great. Experience the vibrant nightlife of ...,2026-01-20 03:12:26.046960
/watch?v=9qV6U4Ioh7I&pp=ygUHdmlldG5hbQ%3D%3D,/@VietnamWarExplained,Vietnam War Explained,"In 1971, American Soldiers Started Killing Their Own Officers In Vietnam",91K,1 month,"October 22, 1971. 02:00 Hours. Di An Base Camp. The First Sergeant is asleep in his hootch. He believes he is safe behind the ...",2026-01-20 03:12:26.048066
/shorts/T51Kvzwzlx8,/@shipegang,Shipe Gang,I hate Vietnam….. 😈 #fypage #fyp #funny #vietnamese #vietnam,205K,1 year,FUNNY GIRL.,2026-01-20 03:12:26.049261
/shorts/afpTr-OmExw,/@baochitravel,Baochi Travel,Unique things to do in Vietnam 🇻🇳 #16,6.8M,6 months,Unique things to do in vietnam welcome to simple candy a shop with four rooms dedicated to candies in the first room you're ...,2026-01-20 03:12:35.570929
/shorts/3rp6lH-uLSM,/@uyenninh,Uyen Ninh,What my Vietnamese family feeds me in a day,13M,2 years,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:12:35.572656
/watch?v=w6Ul00eTp4o&pp=ygUHdmlldG5hbQ%3D%3D,/@Doobydobap,Doobydobap,Vietnam's BEST STREET FOOD in Hanoi (during Tết),1.8M,1 year,"Oh hanoi hanoi. I'm in Hanoi with my family in time for Vietnamese lunar new year year, têt. The sound of moped engines vibrate ...",2026-01-20 03:12:35.576479
/shorts/FIODkqCxJY0,/@findouty,Find Out Why,"""DON’T Go to Vietnam!"" 🇻🇳 #vietnamtravelguide #travel #vietnamtravel #hochiminh #hanoi #hoian",3.9M,11 months,Don't go to Vietnam it's unsafe full of scams you'll get food poisoning and the traffic is terrible I solo travel Vietnam for 2 months ...,2026-01-20 03:12:35.578845
/watch?v=g9W5OjQK_4c&pp=ygUHdmlldG5hbQ%3D%3D,/@DarkDocs,Dark Docs,The Most Terrifying Man of the Vietnam War,8.6M,1 year,"Vietnam, late 1960s. Hostile North Vietnamese troops pin down a Hatchet Force of elite American MACV-SOG operators.",2026-01-20 03:12:35.580217
/shorts/Brg5i5jIt-U,/@historyextra,HistoryExtra,Could the USA have won in Vietnam?,17K,8 months,"Geoffrey Wawro, historian and author of a military history of the conflict, considers the possibility that US firepower in Vietnam ...",2026-01-20 03:12:35.581554
/shorts/rXiyq7JZ9Xo,/@TravelingwithLove-v6m,Traveling with Love & Art,Lunch THIS Close to a Train?! 🇻🇳🚂🍜#vietnam#vietnamtravel  #vietnamtrip #bucketlisttravel #fyp #viral,39M,5 months,Only in Vietnam! ✨ Imagine enjoying your noodles while a train passes just a few feet away — an experience you'll never ...,2026-01-20 03:12:35.583249
/watch?v=c5kRRSLe1lo&pp=ygUHdmlldG5hbQ%3D%3D,/@CNBCMakeIt,CNBC Make It,I Left The U.S. For Vietnam — Here's How Much It Costs,1.9M,3 months,"Markeiz Ryan, 36, left a military career behind to build a new life in Ho Chi Minh City, Vietnam after being honorably discharged in ...",2026-01-20 03:12:35.587577
/watch?v=_nlQtWA7QfQ&pp=ygUHdmlldG5hbQ%3D%3D,/@relaxtionnature4k,Relaxing Nature 4K,VIETNAM 4K - Amazing Beautiful Nature Scenery with Relaxing Music 4K ULTRA HD,1.6M,Streamed 2 years,4kvideo #RelaxingPiano #Nature4K https://www.youtube.com/playlist?list=PLpvOZPjtquCBkJQbM2jTTlhv8gqQu3-qJ ...,2026-01-20 03:12:35.590353
/watch?v=2DjH7IiO10g&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@BestDoc,Best Documentary,"Vietnam War, the Last Secrets",6.3M,1 year,"Forty years after the end of the conflict, unexploded bombs, secret tunnels and other vestiges of the long combat still exist in ...",2026-01-20 03:12:35.591598
/watch?v=hc5GmbZ46No&pp=ygUHdmlldG5hbQ%3D%3D,/@VietnamWarExplained,Vietnam War Explained,"In 1969, Viet Cong Attacked Firebase Crook. It Was a HUGE Mistake.",566K,4 weeks,"This video deconstructs the brutal defense of Fire Support Base Crook, a pivotal yet overlooked battle of the Vietnam War that ...",2026-01-20 03:12:35.592755
/watch?v=EKe3okNPmzQ&pp=ygUHdmlldG5hbQ%3D%3D,/@IntotheShadows,Into the Shadows,Why American Soldiers Started Killing Their Own Officers in Vietnam,504K,11 days,Head to https://drinkag1.com/intotheshadows to get a FREE AG1 duffel bag and FREE welcome kit when you first subscribe!,2026-01-20 03:12:35.593900
/watch?v=XK6B0pWJCxw&pp=ygUHdmlldG5hbQ%3D%3D,/@worldatwar,World at War,Vietnam War Secrets Buried Underground,2.2M,6 months,"Millions of bombs, napalm raids, hidden tunnels, and scorched villages… This film revisits one of the most devastating conflicts of ...",2026-01-20 03:12:35.596172
/watch?v=oTlKahi9e44&pp=ygUHdmlldG5hbQ%3D%3D,/@vietnamstreetfoodtv8578,Vietnam Street Food TV,BEST 15 SAIGON MICHELIN STREET FOOD 2025 // Vietnamese Michelin Guide,75K,4 months,streetfood #streetfoodvietnam #vietnamstreetfood #market #vietnam #saigon #hochiminhcity #hochiminhtoday ...,2026-01-20 03:12:35.600191
