video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FSBLlntnAog&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@OnAir24,OnAir24,Top 10 Must Try Vietnamese Foods 🇻🇳  || Vietnam Best Street Food & Traditional Dishes!,120K,10 months,"Top 10 Must Try Vietnamese Foods || Vietnam Best Street Food & Traditional Dishes! Vietnam is a food lover's paradise, ...",2026-01-20 03:18:43.399634
/shorts/hSgPf3Zt_U0,/@uyenninh,Uyen Ninh,Showing German bf Vietnamese bread,6.4M,10 months,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:43.401073
/watch?v=IIKCN5wZeqA&pp=ygUPdmlldG5hbSBjdWx0dXJl0gcJCU8KAYcqIYzv,/@GeographyByGeoff,Geography By Geoff,Why Vietnam Is Quietly Becoming Asia’s Next Power,689K,9 months,Ride Vietnam's train with me! https://youtu.be/KjFpWiwkUso?si=-Mhf82aEkNSUPiHW -- What France really wanted with ...,2026-01-20 03:18:43.402813
/watch?v=-iKR3i2Sfu8&pp=ygUPdmlldG5hbSBjdWx0dXJl,/channel/UC5WrayTqmGntbnsp6ZPzFbA,Powell Lumor,No racism in Vietnam. I randomly end up in these strangers house for dinner. Its crazy | Da Nang 🇻🇳,882,10 hours,"This is the real Vietnam. If you're curious about Vietnamese culture, local life in Da Nang, or what happens when you step off the ...",2026-01-20 03:18:43.404123
/watch?v=iBSmfAEOFfU&pp=ygUPdmlldG5hbSBjdWx0dXJl0gcJCU8KAYcqIYzv,/@realcoolvision,CoolVision,Vietnam — 14 Days From Saigon to Hanoi,653K,6 months,"Lets explore Vietnam. From the bustling streets of Hanoi and Saigon, we'll visit Vietnam's must-visit destinations, including Ha ...",2026-01-20 03:18:43.405690
/watch?v=ITSkrycuruE&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@Lento-English,Lento English,What is Vietnam Famous For? || 🔴🟡Learn English Through Story Level 3 || Graded Reader 🎧,31K,5 months,What is Vietnam Famous For? || Learn English Through Story Level 3 || Graded Reader Welcome to Lento English!,2026-01-20 03:18:43.407012
/shorts/Q1sNHRj7etE,/@uyenninh,Uyen Ninh,Germans vs. Vietnamese waiter,1.7M,11 months,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:43.408346
/watch?v=sqTG28Bby68&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@WhatThePho,What The Pho ,Things NOT to do in Vietnam (Part 2),274K,3 years,"Click the https://vessi.com/whatthepho and use my whatthepho for $25 off each pair of adult Vessi shoes! Free shipping to CA, US, ...",2026-01-20 03:18:43.409595
/watch?v=Bz-0EIhzYGg&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@Documentary60Minutes,Documentary 60 Minutes,vietnamese culture and traditions 4k video documentary.,12K,5 years,"vietnam vietnamese culture vietnamese culture and traditions vietnamese song, vietnamese coffee, vietnamese food, vietnamese ...",2026-01-20 03:18:43.410787
/watch?v=llwyY4BDbfc&t=2s&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@CNBC,CNBC,Why Starbucks Struggles In Vietnam's $1B Coffee Market,1.3M,6 years,"A cup of traditional cà phê sữa đá is made with robusta beans, which have a sharper, bitter flavor than more mild arabica beans.",2026-01-20 03:18:43.412425
/watch?v=I-nGRtSyaqU&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@QuangVietTravelExplore,Quang Viet Travel & Explore,Experience Vietnam's Festival: A Journey Through Ancient Rituals and Colorful Traditions,268K,11 months,"Join us as we explore the captivating Đền Thượng Festival in Lào Cai, a unique cultural celebration in northern Vietnam. In this ...",2026-01-20 03:18:43.417374
/shorts/uGyITwQI4fg,/@uyenninh,Uyen Ninh,Things I did in Vietnam,4.2M,11 months,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:43.418625
/watch?v=3LCWhFRhjsM&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@Mr-ben202,Mr Ben,Vietnam's Unique Bridge Market - Discover Authentic Vietnamese Street Food,656K,3 months,"Vietnam's Unique Bridge Market - Discover Authentic Vietnamese Steet Food, Discover Vietnam's Unique Bridge Market, where ...",2026-01-20 03:18:43.419863
/watch?v=5z_t_tpCniw&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@QuangVietTravelExplore,Quang Viet Travel & Explore,Experience Vietnamese Markets - Unique Cultural Features of Highland Ethnic Groups | 4K,580K,10 months,"Join us as we take you on a journey through the vibrant Bac Ha Fair Market, one of the largest and most colorful markets in ...",2026-01-20 03:18:43.421147
/watch?v=dl9GYYMxnFs&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@Mr-ben202,Mr Ben,Vietnam's Unique Bridge Market - Buffalo Meat and Local Culture,9.7M,3 months,"Vietnam's Unique Bridge Market - Buffalo Meat and Local Culture Speaking of Vietnamese Cuisine, Vietnam has 64 ethnic groups ...",2026-01-20 03:18:43.422374
/watch?v=2QbTrSppemM&pp=ygUPdmlldG5hbSBjdWx0dXJl0gcJCU8KAYcqIYzv,/@BehindAsia,Behind Asia,"Why Vietnam Hates China, Despite Communism",228K,6 months,"Vietnam is one of the most anti-Chinese nation in all of Southeast Asia, despite sharing political ideologies. Inquiries: ...",2026-01-20 03:18:43.424201
/shorts/whOfRG4c1WY,/@thatevanguy1480,that Evan guy,Culture shock in Vietnam 🇻🇳 #cultureshock,12K,1 year,SHOCKED in Vietnam . everywhere you go can be a drive thru! #cultureshock.,2026-01-20 03:18:51.762121
/watch?v=3YhR-QBHoyc&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@vietnamtodayinternational,Vietnam Today,Cultural industry - A driver of economic growth | Vietnam Today,1.6K,13 days,"According to the draft political report for the 14th National Party Congress, the development of the culture industry is identified as ...",2026-01-20 03:18:51.765297
/shorts/3ku6MSC-mjI,/@uyenninh,Uyen Ninh,German and Vietnamese wedding,8.6M,2 years,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:51.766070
/shorts/cznLUDHdRuA,/@uyenninh,Uyen Ninh,When Vietnamese invites German to dinner,17M,2 years,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:51.766759
/shorts/c1yRzBS1GII,/@MoreTravelsWithDrewBinsky,The $10 Travel Show,3 Wacky Things about Vietnamese Culture,75K,2 years,travel #shorts.,2026-01-20 03:18:51.767384
/shorts/8BF2yrIPDUg,/@pigallisme,pigallisme,things in vietnam that just make sense 🇻🇳,223K,1 year,i miss fresh lime juice D: #japan #travel #shorts cooking vlog Silent vlog travel in japan life in japan vlogs life in japan aesthetic life ...,2026-01-20 03:18:51.768031
/shorts/M0I_9tPvUIE,/@curiousaboutvietnam,Curious About Vietnam,Three Ways To Say 'Thank You' in Vietnam,276K,2 years,"Here's a helpful tip for anyone who is looking to travel to, or learn Vietnamese. There are many different accents across the ...",2026-01-20 03:18:51.768863
/shorts/h7Jp1D7DNBQ,/@uyenninh,Uyen Ninh,German vs. Authentic Vietnamese food,18M,1 year,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:51.769578
/watch?v=e0X7Miey38A&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@RecordingEarth,Recording Earth,Wonderful village culture in Vietnam - Tày ethnic group | Recording Earth,10K,6 years,We explain the daily life of the Tày and take a close look at the relationship between Tày life and music. Tày people have been ...,2026-01-20 03:18:51.770442
/watch?v=zLWxvB2_ntA&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@QueenofDC,Queen of DC,10 Vietnam Culture Shocks NOBODY Tells You,9.4K,1 year,"Living in Vietnam has been an eye-opening experience! In this video, I'm sharing 10 culture shocks that stood out to me while ...",2026-01-20 03:18:51.771205
/shorts/zMxrD0gpt_M,/@LetsSpeakVietnamese,Let's Speak Vietnamese,How Vietnamese Really Speak 😭,347K,9 months,"Also, we have been organizing many activities and meetups to help our students understand the Vietnamese culture and enjoy ...",2026-01-20 03:18:51.771898
/shorts/hKVh-DoDnGg,/@uyenninh,Uyen Ninh,Vietnamese wooden bed,21M,3 years,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:51.772578
