video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=5MKhmiq9IeA&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@maiphammy,Mai Pham,"I Traveled Vietnam for 7 Days (solo travel, street food, scuba diving, driving a moped, mud-baths)",2M,2 years,Thank you so much for 3 million subscribers. I love you all. Enjoy! SOCIAL MEDIA ⇢ clothing line: https://www.alchemai.la ...,2026-01-20 03:15:20.044019
/watch?v=s1N227UZSS4&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@thetraveling3,The Traveling 3,Unbelievable Vietnam 🇻🇳 (A Travel Documentary),55K,5 months,"Welcome to your ultimate 14-day Vietnam itinerary in this travel documentary. Relax on the beaches of Phu Quoc, Vietnam's ...",2026-01-20 03:15:29.247318
/watch?v=PH7l638seu0&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravelEscapesVlogs,Travel Escapes,Why is Everyone Going to Da Nang Vietnam?! 🇻🇳 (First Impressions),685K,4 months,"Why is Everyone Going to Da Nang, Vietnam Da Nang, Vietnam is currently one of the most popular destinations in Asia for ...",2026-01-20 03:15:29.248710
/watch?v=r62kS8yD4HQ&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@FloraandNote,Flora and Note,"This Is What HANOI, VIETNAM Is Like Now 🇻🇳 (Local Cafés, Eats & Hidden Gems In 2025)",188K,10 months,"... the ultimate Vietnam Travel Guide 2025 and today we're following your 5-star recommendations for the best food, experiences, ...",2026-01-20 03:15:29.250434
/watch?v=KuKHih_QwhM&t=36s&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@laistahir,Lais,3 Days in Sapa Vietnam 2026 - What to do in Sapa Vietnam,1.2M,1 year,vietnam #sapa #travel here my take on How to Spend 3 Days in Sapa Vietnam. And top things to do in Sapa Vietnam. A Travel ...,2026-01-20 03:15:29.254394
/watch?v=B5VFIOf9dqU&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@zanetravel,Zane Travel,First Day in HANOI 🇻🇳 Vietnam is UNREAL,83K,1 year,"Join me on My First Time in Hanoi, Vietnam (First Time Back) ---- (AFFILIATE LINKS) Klook is the best way to plan your trip: ...",2026-01-20 03:15:29.256281
/watch?v=gZaQ3zrwU80&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@MoreBestEverFoodReviewShow,More Best Ever Food Review Show,Surviving on $20 a Day in Vietnam!! (3 meals / 1 hotel),3.2M,1 year,FOLLOW US!!* https://www.instagram.com/besteverfoodreviewshow/ *WATCH THE BEST EVER FOOD REVIEW SHOW ...,2026-01-20 03:15:29.258043
/watch?v=AXVYSL9mjyw&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@JenBarangan-David,Jen Barangan-David,Hanoi and Sapa Vietnam travel guide (itinerary and expenses) | Jen Barangan,353K,2 years,Days Activities Day 1 -7:40am - Arrival Noi Bai International Airport Terminal 2 8:30am - Transfer from Noi Bai International Airport ...,2026-01-20 03:15:29.259499
/watch?v=iXm3hzNiJWg&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@AngelicaandAileenWanders,Angelica & Aileen Wanders,Hanoi Vietnam 2025 Travel Guide: Places to Visit & Things to Do • Itinerary & Expenses • Budget Vlog,261K,9 months,"Luxury cruises for $50, scenic bike rides for $2, and mouthwatering Vietnamese food for less than $1. We're now here to give you ...",2026-01-20 03:15:29.263330
/watch?v=36K7tHYWtSE&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@vintagefoodfarm,Vintage Food Farm,The Ultimate Vietnam Travel Tips 😁🇻🇳,62K,1 year,We have been travelling in Vietnam since 2003 when we first came here on holidays with 4 small children. The first day we arrived ...,2026-01-20 03:15:29.265153
/watch?v=JAvTuECWKH8&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@WanderJ,Wander J,"Hanoi and Sapa, Vietnam Travel Guide (Itinerary + Expenses) 🇻🇳 FOR FIRST TIMERS! | WanderJ",182K,1 year,KLOOK promo code: WANDERJKLOOK 00:00 - 01:25 - Intro 01:26 - 14:31 - Hanoi Itinerary & Expenses 14:32 - 24:56 - Sa Pa ...,2026-01-20 03:15:29.266671
